"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"IN099999901","PORT BLAIR, IN","2000-10-23","78","80","74"
"IN099999901","PORT BLAIR, IN","2000-10-24","78","84","74"
"IN099999901","PORT BLAIR, IN","2000-10-25","78","82","74"
"IN099999901","PORT BLAIR, IN","2000-10-26","80","86","74"
"IN099999901","PORT BLAIR, IN","2000-10-27","80","86","75"
"IN099999901","PORT BLAIR, IN","2000-10-28","80","87","74"
"IN099999901","PORT BLAIR, IN","2000-10-29","79","88","74"
"IN099999901","PORT BLAIR, IN","2000-10-30","80","87","72"
"IN099999901","PORT BLAIR, IN","2000-10-31","81","88","74"
"IN099999901","PORT BLAIR, IN","2000-11-01","80","87","74"
"IN099999901","PORT BLAIR, IN","2000-11-02","79",,"73"
"IN099999901","PORT BLAIR, IN","2000-11-03","80","86",
"IN099999901","PORT BLAIR, IN","2000-11-04","81","87","76"
"IN099999901","PORT BLAIR, IN","2000-11-05","81","87","73"
"IN099999901","PORT BLAIR, IN","2000-11-06","80","87","75"
"IN099999901","PORT BLAIR, IN","2000-11-07","80","87","73"
"IN099999901","PORT BLAIR, IN","2000-11-08","81",,"76"
"IN099999901","PORT BLAIR, IN","2000-11-09","81","87",
"IN099999901","PORT BLAIR, IN","2000-11-10","82","87","76"
"IN099999901","PORT BLAIR, IN","2000-11-11","82","87","77"
"IN099999901","PORT BLAIR, IN","2000-11-12","81","87","76"
"IN099999901","PORT BLAIR, IN","2000-11-13","83","88","75"
"IN099999901","PORT BLAIR, IN","2000-11-14","82","87","77"
"IN099999901","PORT BLAIR, IN","2000-11-15","83","89","76"
"IN099999901","PORT BLAIR, IN","2000-11-16","84","89","78"
"IN099999901","PORT BLAIR, IN","2000-11-17","82","89",
"IN099999901","PORT BLAIR, IN","2000-11-18","81","87",
"IN099999901","PORT BLAIR, IN","2000-11-19","83",,"79"
"IN099999901","PORT BLAIR, IN","2000-11-20","82","88","76"
"IN099999901","PORT BLAIR, IN","2000-11-21","82","88","76"
"IN099999901","PORT BLAIR, IN","2000-11-23","82","89",
"IN099999901","PORT BLAIR, IN","2000-11-24","81","87","74"
"IN099999901","PORT BLAIR, IN","2000-11-25","80","84","76"
